Name,Year,Financial,Creative,Publisher,Indie?,Why?
Star Trek: Hidden Evil,1999,0,0,0,No,"Presto / Activision. Financial: ""Being released on time also saved money for Activision. Every year, a major publisher releases a half dozen or more titles during the Christmas season. By getting our project finished in October, we freed up valuable resources in their QA department."". Creative: ""We entered into a partnership with Activision in order to create the first game with their new Star Trek license which was acquired from Paramount. They wanted a mission based game with step-by-step hand holding instructions to appeal to casual gamers. They wanted it to be small so that casual gamers would not be intimidated. (...) In the end, I believe we succeeded in creating exactly the game Activision and Paramount wanted even though it was a rough road to our final goal. """
Star Trek: Voyager -- Elite Force,2001,0,0,0,No,"Raven / Activision. Creative: ""Their goals from the beginning were to create a broad selection of games and show the gaming community that Activision could take the Star Trek brand and make high-quality games with it (...). The preliminary game slate was set with a first-person shooter as one of the initial titles. (...) Activision handed the Star Trek first-person shooter project to us. (...) The main factor in designing the plot of the game was that it had to be an action game, despite the fact that Star Trek isn't known for action. """
Star Wars DroidWorks,1998,0,1,1,Yes,"Lucas Learning. Self-developed and published. Funding:""Although we had several aces in our hands, including guaranteed private funding and one of the most popular film licenses in the world, Lucas Learning was still a startup."" Creative: ""George gave us the freedom to innovate, just as our products would give our users the freedom to experiment and learn."""
Star Wars Rogue Leader Rogue Squadron II,2002,0,0,0,No,"Factor 5 / LucasArts (owns the franchise). Financial: seems like there was publisher help - ""This situation could only go on for so long until Lucas Arts asked us if we might consider moving the company to the U.S. They offered their help in legal matters, and in May 1996 the American chapter of Factor 5's history began. (...) Estimated budget: $3.5 million"""
Star Wars Starfighter,2001,1,1,1,Yes,"LucasArts. Self developed and published. Creative: ""Work on Project Europa — the internal codename for the development effort that would eventually metamorphose into Star Wars Starfighter — began in earnest in April 1998. A small crew of programmers, headed up by director Daron Stinnet, began preproduction work on a Star Wars: Episode I PC title that had grand ambitions"""
Startopia,2001,?,0,0,#VALUE!,"Mucky Foot / Eidos. Creative: ""The style for Startopia was quickly laid down in a broad concept document developed by Gary and Guy. (...) For the next year, a small team of programmers and artists generated what was essentially a graphical demo of a space station game, with little regard to actual gameplay — an unfortunate necessity when trying to acquire continued funding from a publisher who will judge the progress and suitability of a project on look rather than feel. The demo successfully won the support of Eidos, and Startopia was officially signed as Muckyfoot's second project."""
Stellaris,2016,1,1,1,Yes,Developed and published by Paradox
Stubbs the Zombie,2006,1,1,0,Yes,Wideload / Aspyr; got creative freedom and stayed at least 9 months on their own budget
Sunless Sea,2015,1,1,1,Yes,Self developed and published
Super Meat Boy,2011,1,1,1,Yes,Team Meat. Self developed and published
Super Monkey Ball 2,2010,?,0,0,#VALUE!,"Amusement Vision / Sega. Creative: ""One of the best things about the App Store is that publishers get immediate feedback from their user base, in the form of user reviews. Sega takes that information very seriously when working on updates and sequels."""
SWAT3 Close Quarters Battle,2000,1,1,1,Yes,"Sierra. Self developed and published. Financial: ""Project budget: $2.2 million"""
Swing racers,2015,1,1,1,Yes,Self developed and published
Swords & Soldiers,2010,?,1,1,#VALUE!,Ronimo. Self developed and published.
System Shock 2,1999,?,0,0,#VALUE!,"Irrational / EA. Creative: ""This is the story of a young and inexperienced company that was given the chance to develop the sequel to one of the top ten games of all time"""
Tasmanian Tiger 2,2005,?,0,0,#VALUE!,"Krome / EA. ""In developing the Ty series, we felt there was an opportunity to create a quality title - and character - that would appeal to the younger gaming audience while offering enough variety and interest for the masses."""
The Adventures Of Shuggy,2011,1,1,0,Yes,"Smudged Cat / Valcon. Creative: ""I had started work on the gameShuggy would become back in the beginning of 2007; what followed was four and a half years of various ups and downs. It was developed using Microsoft's XNA framework which enabled me (as a lone developer) to get something up and running really quickly. The game was entered into Microsoft's Dream Build Play competition in 2007 and made it into the top 20. (...) After a long period of uncertainty, the publishing contract was terminated at the end of 2008, leaving me looking for another publisher. Eventually a new deal was signed with Valcon Games at the end of 2009, allowing me to complete development and finally get the game released"""". Funding: """"Due to the nature of the way the game was developed, most of the team have never actually met each other. Being an indie project and having no budget at the start meant that everyone was working remotely from their own homes"""
The Banner Saga 2,2016,?,1,0,#VALUE!,Sequel; a small group; published by Versus Evil
The Binding of Isaac,2012,1,1,1,Yes,Edmund McMillen. Self developed and published
The Blackwell Convergence,2009,1,1,1,Yes,Wadjet Eye. Self developed and published.
The Gallery: Call of the Starseed,2017,0,1,1,Yes,Cloudhead. Funded by Kickstarter.
The Incredible Hulk,2008,?,0,0,#VALUE!,"Fizz Factor / Sega. Não fica claro a origem do funding. Fica clara a intervenção da Sega nas mecânicas: ""The publisher's job is to know what will appeal to the broadest base of consumers, and while being too passive and ""rolling over"" to any suggestion is a recipe for gameplay disaster, so is a developer being too inflexible or too precious about their own design"""
The Italian Job,2002,?,0,0,#VALUE!,"Pixelogic / SCI. Creative: ""Armed with a cult film licence and knowing that The Italian Job (TIJ) already had a huge fan base which would mainly interest the general UK public, we could only hope we could produce a game that would not only do the film justice by not disappointing any fans and also come out with a game worth playing. """
The Political Machine,2004,?,0,0,#VALUE!,"Stardock / Ubisoft. Financial: ""Budget: $200,000"". Creative:"
The Suffering,2004,?,0,0,#VALUE!,"Surreal / Midway. Creative: ""'A stylized horror shooter. The frenetic gameplay of Devil May Cry meets the horror setting of Resident Evil and the immersive game-world of Half-Life.' So began the two-page pitch document that marked the start of Surreal's development of The Suffering."""
The X-Files,1999,?,0,0,#VALUE!,"HyperBole / Fox. Creative: ""The intended audience of The X-Files Game was - first and foremost - the fans of the show. (...) At the same time, we also wanted the game to engage the typical adventure gamer"""
Thief: The Dark Project,1999,0,1,0,Yes,"Looking Glass / Eidos. Financial: ""But all work had to stop in order to pull together an emergency proof-of-concept demo by the end of December to quell outside concerns that the team lacked a sound vision of the game. (...) While better than losing our funding, constructing these demos was not good for the project."". Creative: ""It provided the joys of working on a large-scale game: challenging problems, a talented group of people, room for creative expression, and the occasional hilarious bug."""
TimeShift,2008,?,0,0,#VALUE!,"Saber / Vivendi. Houve conflito criativo e troca de publishers: ""The game as it was in September 2006 was a mishmash of way too many creative visions. (...) After four years of development, three extensions, two publishers, three re-recordings of voice acting, three iterations of the story, two sets of discrete FMVs and multiple iterations of Saber's technology base, the game finally made it to the shelves for Holiday 2007."""
Tomb Raider: Underworld,2009,0,0,0,No,"Crystal Dynamics / Eidos. Sequel of the famous franchise, triple-A."
Tony Hawk Pro Skater (Dreamcast),2000,0,0,0,No,Neversot / Activision. PM describes a port.
Toontown,2004,0,0,0,No,"Disney VR / Disney (same owner). Creative: ""While we were working on Pirates of the Caribbean: Battle for Buccaneer Gold, (...). We realized that massively multiplayer online games represented a tremendous opportunity for a company like Disney, and believed that our experience in creating interactive spaces for theme parks could be used to create compelling entertainment for the home."
Top Gun,2009,1,1,1,Yes,Freeverse. Self developed and published.
Total Pro Golf 2,2007,?,1,1,#VALUE!,Wolverine Studios.
Tower Bloxx,2006,1,1,1,Yes,Self developed and published
Trade Empires,2002,0,0,0,No,"Frog City / Eidos. Financial: seems that at least part of the budget came from Eidos - ""We learned a lesson about stinting on multimedia: although gamers may skip through movies and eventually turn off ambient music, these things are crucial and should be included regardless of the development budget. Eidos considered, but eventually declined, funding an opening movie. They did, however, step in with over 90 tracks of music to introduce different regions."""
Trespasser,1999,0,0,0,No,"Dreamworks / EA. Financial: ""Trespasser was not able to use the Jurassic Park license for free, despite Spielberg being a principal of our parent company, DreamWorks."""
Trine,2010,0,0,0,No,"Frozenbyte / Nobilis. Funding parcial: ""and ultimately we ended up funding two-thirds of the project on our own"". Alguns deptos tiveram liberdade, mas não a concepção do jogo como um todo: ""A decision was made -- partly because of lack of time to focus on such a task amidst all the chaos -- to give the art team and the newly promoted art director almost complete freedom with regards to the game's visual style."""
TRON 2.0,2003,0,1,0,Yes,"Monolith / Buena Vista. Buena Vista and Disney own the franchise. Creative: ""We were initially concerned that the constraints of the license would be overwhelming, with minute-level detail examination leading to a potentially watered-down game. However, it was just the opposite. While BVG had great input of their own, they encouraged us to run with our ideas."""
Tropico,2001,?,1,0,#VALUE!,"PopTop / Gathering of Developers. Creative: ""With our creative energies renewed by a fresh idea and the thrill of starting a new project in our hearts, we rushed off to create Tropico — each of us in our own way. """
Tropico 5,2014,?,0,0,#VALUE!,Haemimont / Square Enix
Tycoon 2: Marine Mania,2007,?,1,0,#VALUE!,"Blue Fang / Microsoft. ""We received timely feedback from the MS project team and we were able to discuss our thoughts and ideas with them openly and freely. """
Uncharted Drakes Fortune,2008,0,0,0,No,Naughty Dog / Sony. Triple-A.
Uncharted: Golden Abyss,2012,0,0,1,Yes,"SCE Bend / Sony (publishers owns dev studio). Creative: ""Our producer's reaction was more dramatic. He spent two days in our guest office playing the build and every time I walked by I could hear him swearing at the PS Vita. Not good. When he was done he told us he could see the potential, that there wasn't any one ""big thing"" wrong, just a thousand little things. His quote, ""death by a thousand cuts,"" became our mantra over the next few weeks. So we knew what to expect from our first internal focus test. We got six local gamers, set them up to play, and spent the next two days studying their actions. Every couple of hours we would stop them and have them fill out the questionnaires. At the end we did a group interview which turned into a free-wheeling discussion where they could say anything they liked -- which they did... in excruciating detail. Every little thing that could be picked on, they picked on"". Funding: studio is first-party"
Unreal Tournament,2000,0,1,0,Yes,"Epic / GT. Financial: ""The promise of a much higher profit potential, coupled with our recognition of the state of the project finally led us to agree with GT (...) Project budget: $2 million.""Creative: ""Epic's internal structure is extremely liberal, probably the most liberal in the entire gaming industry. (...) This design philosophy pervaded Unreal Tournament's development. """
Vampire The Masquerade,2000,0,0,0,No,"Nihilistic / Activision. Financial: ""The budget for the game was fairly modest by today's standards, about $1.8 million. The budget was intentionally kept low for the benefit of both Nihilistic and our publisher. (...) Activision was new to the RPG market and was testing the waters with RPGs and the White Wolf license in particular, so they probably considered the venture fairly high risk as well."". Creative: ""Before linking up with Activision as our publisher, Nihilistic president Ray Gresko already had a rough design and story prepared for an RPG with similar themes and a dark, gothic feel. After Activision approached us about using the White Wolf license, we adapted parts of this design to fit the World of Darkness universe presented in White Wolf's collection of source books, and this became the initial design for Redemption"""
Vanishing Point,2015,1,1,1,Yes,Self developed and published
Warhammer: End Times – Vermintide,2016,1,1,1,Yes,"Fatshark. Creative: ""As passionate fans of the Warhammer Fantasy IP, our team always wanted to create a Warhammer game – one that would stay true to the beautifully dark atmosphere of the world but also from a first-person perspective."", Funding: ""We initially planned to bring in VC funding for the project but we sold our engine company, Bitsquid, to Autodesk in 2014, which meant we’d be able to self-fund the game we’d dreamt of making."""
Weapon of Choice,2009,1,1,1,Yes,Mommy's Best Games. Self developed and published.
Whacked,2002,0,1,0,Yes,"Presto / Microsoft. Creative: ""When most publishers are filling their portfolios with sequels and movie licenses, Microsoft gave Presto Studios a great opportunity to create an original project for their Xbox console. """
Wik & The Fable Of Souls,2005,1,1,1,Yes,Self developed and published
Wild 9,2000,0,1,0,Yes,"Shiny / Interplay. Creative: ""These kinds of tools, together with our scripting language, offered our artists a creative freedom that paid off for us in a big way; (...) In addition, the whole team took this game to heart and ended up coming up with suggestions of their own. We were thus faced with a situation toward the end of the project: we could not fit everything into the game. """
WipEout Pure,2005,1,0,1,Yes,SCE / Sony. Nothing specified about the creative side.
Wireless Pets,2002,?,1,0,#VALUE!,"The Games Kitchen / Digital Bridge. Creative: ""Heck, we weren't even sure if WAP (or, more accurately, the usually poor implementation of WAP found on the new devices) could handle it. But we did it anyway, and it became the biggest WAP game in Europe,"""
